Contact Type,Email,First Name,Last Name,Mailing City,Mailing Country,Mailing State/Province,Mailing Street,Mailing Zip/Postal Code,Organization Type,Phone
Adult,Irene.Nolan@schools.nyc.gov,Irene,Nolan,,,,,3877,School,
,Brandon.Pullman@yahoo.com,Brandon,Pullman,Las Vegas,United States,New York,Ap #758-7196 Donec St.,97028,One-to-One Individual,9059427363
,Joanne.Paterson@gmail.com,Joanne,Paterson,Bloomfield hills,United States,Michigan,Ap #758-7196 Donec St.,79187,One-to-One Individual,5434299274
Adult,Colin.Metcalfe@hotmail.com,Colin,Metcalfe,,,,,7273,School,
Adult,Brandon.Powell@yahoo.com,Brandon,Powell,,,,,4170,One-to-One Individual,8600530818
,Bella.Fraser@we.org,Bella,Fraser,Dallas,United States,Texas,"P.O. Box 876, 3566 Mi Ave",70451,One-to-One Individual,861-407-6448
Adult,Claire.Rutherford@schools.nyc.gov,Claire,Rutherford,,,,,13389,School,
,Rebecca.Mathis@yahoo.com,Rebecca,Mathis,Winter Haven,United States,Florida,175-8101 Id St.,9591,One-to-One Individual,3495214806
Youth,Heather.Ross@my.weston.org,Heather,Ross,Weston,United States,Massachusetts,175-8101 Id St.,9573,One-to-One Individual,508-317-6911
Adult,Olivia.Sharp@schools.nyc.gov,Olivia,Sharp,,,,,88773,School,
,thomas.wilson@comcast.net,thomas,wilson,Burien,United States,Washington,409-5537 Turpis. Street,88052,One-to-One Individual,457-778-8068
TBD,Joanne.Marshall@hotmail.com,Joanne,Marshall,Moncton,Canada,New Brunswick,409-5537 Turpis. Street,E6e6B9,One-to-One Individual,48798265743
Adult,Leonard.Vance@schools.nyc.gov,Leonard,Vance,,,,,5424,School,
,Amelia.MacDonald@gmail.com,Amelia,MacDonald,Warren,United States,Ohio,"P.O. Box 618, 6127 Turpis. Ave",82538,One-to-One Individual,7554375693
,Sonia.Mathis@charter.net,Sonia,Mathis,Whitinsville,United States,Massachusetts,"P.O. Box 618, 6127 Turpis. Ave",3815,One-to-One Individual,885-653-7661
Adult,Diana.Underwood@schools.nyc.gov,Diana,Underwood,,,,,97356,School,
,Gordon.Rutherford@gmail.com,Gordon,Rutherford,Lyman,United States,South Carolina,3225 Mi. Road,38026,One-to-One Individual,6853911546
TBD,PAUL.DYER@bell.net,PAUL,DYER,PERTH,Canada,Ontario,3225 Mi. Road,K4H0C5,One-to-One Individual,8393575962
Adult,Wendy.Dyer@schools.nyc.gov,Wendy,Dyer,,,,,50320,School,
Adult,Lauren.Carr@comcast.net,Lauren,Carr,,,,,1830,One-to-One Individual,
,Dan.Churchill@gmail.com,Dan,Churchill,Christopher Lake,Canada,Saskatchewan,Ap #607-6972 Nisl. Rd.,S6j9n3,One-to-One Individual,8163453342
Educator,Cameron.Hudson@schools.nyc.gov,Cameron,Hudson,,United States,NY,,,School,
Adult,Jessica.Paterson@yahoo.com,Jessica,Paterson,,,,,4277,One-to-One Individual,441170501
,Trevor.Avery@hotmail.com,Trevor,Avery,Rigaud,Canada,Quebec,6995 Nec St.,J5P9P9,One-to-One Individual,9135697780
Educator,Owen.Hudson@schools.nyc.gov,Owen,Hudson,,United States,NY,,,School,2705194824
,Max.Nolan@gmail.com,Max,Nolan,La Mesa,United States,California,"P.O. Box 986, 5722 Egestas Avenue",79383,One-to-One Individual,3484456358
,Dominic.Hill@shaw.ca,Dominic,Hill,Okotoks,Canada,Ontario,"P.O. Box 986, 5722 Egestas Avenue",T4S5M6,One-to-One Individual,327-895-3975
Educator,Jake.Ellison@schools.nyc.gov,Jake,Ellison,,United States,NY,,,,143 882-0618
Adult,James.Lewis@twc.com,James,Lewis,Louisville,United States,KY,"160-1985 A, Rd.",61262,One-to-One Individual,308-992-2237
,Hannah.Brown@hotmail.com,Hannah,Brown,Harrow,United Kingdom,Middlesex,"160-1985 A, Rd.",HA1 1TB,One-to-One Individual,9890978822
Educator,Stephen.Langdon@schools.nyc.gov,Stephen,Langdon,,United States Minor Outlying Islands,New York,,,School,203 319 6995
,,,Wallace,,,,,,One-to-One Individual,
Adult,Nathan.Glover@csdps.qc.ca,Nathan,Glover,quebec,Canada,Quebec,"P.O. Box 174, 6448 Suspendisse Road",g4c0x6,One-to-One Individual,77863688053
Adult,Chloe.Newman@gmail.com,Chloe,Newman,,,,,94482,School,4623432100
,Lucas.Grant@icloud.com,Lucas,Grant,Middletown,United States,Pennsylvania,"203-2576 Elementum, Rd.",51324,One-to-One Individual,594-308-6956
Adult,Gavin.Turner@ukk.nis.edu.kz,Gavin,Turner,,Kazakhstan,East Kazakhstan,,,One-to-One Individual,+5 9889321258
Youth,AUSTIN.ROBERTSON@gmail.com,AUSTIN,ROBERTSON,,,,,47119,School,
Adult,Pippa.MacDonald@watermusic.com,Pippa,MacDonald,Santa Monica,United States,CA,Ap #368-7042 Leo. Avenue,83479,One-to-One Individual,7099368615
TBD,Michael.Buckland@wsd1.org,Michael,Buckland,,,,,,,8636175517
Adult,SUE.RAMPLING@gmail.com,SUE,RAMPLING,,,,,9542,School,
,Caroline.Graham@sbcglobal.net,Caroline,Graham,McDonald,United States,Ohio,Ap #140-4106 Arcu St.,21289,One-to-One Individual,5875632564
TBD,Heather.Henderson@abbotsfordchristian.com,Heather,Henderson,,,,,,,7380364541
Adult,ALAN.PATERSON@gmail.com,ALAN,PATERSON,,,,,62116,School,
,Dan.Stewart@masdblueraiders.org,Dan,Stewart,Middletown,United States,Pennsylvania,897-4379 Fringilla Rd.,52736,One-to-One Individual,993-326-5850
TBD,Adrian.Ross@gmail.com,Adrian,Ross,,,,,,,6443002433
Adult,HANNAH.DAVIDSON@gmail.com,HANNAH,DAVIDSON,,,,,33451,School,
Youth,Irene.Bond@gmail.com,Irene,Bond,,,,,,One-to-One Individual,9553792132
Adult,Dorothy.Simpson@gmail.com,Dorothy,Simpson,Toronto,Canada,ON,"Ap #285-9690 Et, St.",M5Y 2B9,One-to-One Individual,(917)864-3645
Adult,Leonard.Underwood@al.com,Leonard,Underwood,,,,,19787,School,
Youth,,Sophie,Greene,,,,,,One-to-One Individual,
Adult,Sonia.Black@gmail.com,Sonia,Black,,United States,KY,,94904,One-to-One Individual,8772027586
Adult,Andrea.Newman@aol.com,Andrea,Newman,,,,,38315,School,
,,Jan,Clark,,,,,,One-to-One Individual,
Adult,Maria.Blake@gmail.com,Maria,Blake,Richmond,Canada,BC,Ap #979-7580 Eu Rd.,V2C 5K5,One-to-One Individual,(046)681-4302
Adult,lily.baker@gmail.com,lily,baker,,,,,91172,School Group,
Youth,Thomas.Piper@gmail.com,Thomas,Piper,,,,,,One-to-One Individual,8628564615
Adult,Jane.Reid@gmail.com,Jane,Reid,Dartmouth,Canada,NS,"P.O. Box 680, 7532 Orci Street",B7W 1H3,,826-100-0365
Educator,Hannah.Kerr@schools.nyc.gov,Hannah,Kerr,Brooklyn,United States,NY,"P.O. Box 680, 7532 Orci Street",67111,School,669-546-5936
Youth,,Jane,Sharp,,,,,,One-to-One Individual,
Adult,Piers.Hunter@kleeirwin.com,Piers,Hunter,Topanga,United States,CA,1983 Aenean St.,55940,One-to-One Individual,(073)035-6998
Educator,Christopher.Buckland@schools.nyc.gov,Christopher,Buckland,,United States,NY,,,School,
,Ella.Ross@a.com,Ella,Ross,,,,,,One-to-One Individual,
Adult,Andrea.Terry@rogers.com,Andrea,Terry,Kitchener,Canada,ON,774 At Rd.,N8P 7Y0,One-to-One Individual,(345)018-7688
Educator,Andrew.Manning@gmail.com,Andrew,Manning,,United States,NY,,,,808-925-9651
,Brandon.Morgan@a.com,Brandon,Morgan,,,,,,One-to-One Individual,
,Penelope.Clarkson@gmail.com,Penelope,Clarkson,Edmonton,Canada,Alberta,"P.O. Box 136, 7432 Etiam Street",T8R 5C0,One-to-One Individual,458-371-0502
Educator,AMY.LAMBERT@schools.nyc.gov,AMY,LAMBERT,,United States,NY,,,,6862533237
Youth,Gordon.Dickens@a.com,Gordon,Dickens,,,,,,One-to-One Individual,
Adult,Wanda.Vance@yahoo.com,Wanda,Vance,West Hollywood,United States,CA,"P.O. Box 790, 5393 In St.",88012,,(371) 549-3196
Educator,Carolyn.May@schools.nyc.gov,Carolyn,May,,United States,NY,,,,799-479-5230
Youth,Robert.Russell@a.com,Robert,Russell,,,,,,One-to-One Individual,
Youth,Matt.Roberts@ymail.com,Matt,Roberts,West Vancouver,Canada,BC,562-9101 Pede Rd.,V8T 8V2,,(118) 271-6460
Educator,Jennifer.Henderson@schools.nyc.gov,Jennifer,Henderson,Brooklyn,United States,NY,562-9101 Pede Rd.,4317,School,3219426380
Youth,Jacob.Mackay@a.com,Jacob,Mackay,,,,,,One-to-One Individual,
,Amy.Peters@ladybughouse.org,Amy,Peters,Seattle,United States,Washington,702-2412 Ut Street,41481,One-to-One Individual,
Adult,jacob.arnold@yahoo.com,jacob,arnold,,,,,23011,School,
Youth,Julia.MacDonald@a.com,Julia,MacDonald,,,,,,One-to-One Individual,
Adult,Victoria.Abraham@gmail.com,Victoria,Abraham,Markham,Canada,ON,1608 Ad Rd.,L3R 0A7,One-to-One Individual,(060) 609-0242
Educator,Ian.Ince@schools.nyc.gov,Ian,Ince,,United States,NY,,,,1491191195
Youth,Grace.Powell@a.com,Grace,Powell,,,,,,One-to-One Individual,
Adult,Colin.Dyer@optonline.net,Colin,Dyer,,United States,NY,,,One-to-One Individual,060-787-6375
Adult,Keith.McLean@schools.nyc.gov,Keith,McLean,,United States,NY,,37767,School,927-844-8530
,Brian.Lyman@a.com,Brian,Lyman,,,,,,One-to-One Individual,
,Benjamin.Hamilton@gelansco.com,Benjamin,Hamilton,Ardmore,United States,PA,"P.O. Box 743, 264 Eleifend. Rd.",35712,One-to-One Individual,123-957-8761
Educator,Joan.Ross@schools.nyc.gov,Joan,Ross,,United States,NY,,,School,
Youth,,Joanne,Nolan,,,,,,One-to-One Individual,
,Katherine.Gray@queensu.ca,Katherine,Gray,Mississauga,Canada,Ontario,372-615 Ante Avenue,L0H 3K7,One-to-One Individual,1976721972
Educator,Cameron.Vance@schools.nyc.gov,Cameron,Vance,,United States,NY,,,,
Youth,,Nicholas,Grant,,,,,,One-to-One Individual,
,Jake.Slater@hotmail.com,Jake,Slater,,,,,,One-to-One Individual,
Adult,Lauren.McDonald@schools.nyc.gov,Lauren,McDonald,,United States,NY,,,,
,Frank.Stewart@a.com,Frank,Stewart,,,,,,One-to-One Individual,
,Grace.Johnston@gmail.com,Grace,Johnston,New York,United States,New York,"P.O. Box 147, 1995 Elementum Av.",90224,One-to-One Individual,7123906758
Adult,kylie.parr@yahoo.com,kylie,parr,,,,,86207,School,
Youth,,Megan,Hart,,,,,,One-to-One Individual,
,Wanda.Sharp@yahoo.com,Wanda,Sharp,Mount Vernon,United States,New York,724 Consectetuer Street,9156,One-to-One Individual,002-178-2423
Adult,BRANDON.PATERSON@mac.com,BRANDON,PATERSON,,,,,11087,School,
Youth,,Ian,Mathis,,,,,,One-to-One Individual,
,Paul.Martin@gmail.com,Paul,Martin,Schwenksville,United States,Pennsylvania,Ap #227-6688 Et Street,58904,One-to-One Individual,8319950376
Adult,Rebecca.morrison@aol.com,Rebecca,morrison,,,,,78501,School,
Youth,,Alexandra,Pullman,,,,,,One-to-One Individual,
,Brandon.Ince@gmail.com,Brandon,Ince,Pittsburgh,United States,Pennsylvania,"P.O. Box 516, 2048 Dui, Rd.",31541,One-to-One Individual,429-601-1388
Adult,John.Mackenzie@yahoo.com,John,Mackenzie,,,,,64312,School,
,Jacob.Mackenzie@a.com,Jacob,Mackenzie,,,,,,One-to-One Individual,
Educator,Angela.Glover@stmss.org,Angela,Glover,Shoreline,United States,WA,7379 Lobortis Rd.,86288,One-to-One Individual,123-141-3408
Adult,theresa.churchill@gmail.com,theresa,churchill,,,,,74996,School,
Youth,,Theresa,Chapman,,,,,,One-to-One Individual,
Educator,Dominic.Sutherland@yrdsb.ca,Dominic,Sutherland,,Canada,ON,,,One-to-One Individual,954-608-6838
Adult,owen.forsyth@gmail.com,owen,forsyth,,,,,70733,School,
TBD,Julia.Manning@hotmail.com,Julia,Manning,,,,,B0W 5S1,One-to-One Individual,189-535-6509
,Phil.Berry@gmail.com,Phil,Berry,Palm Beach Gardens,United States,New York,771-9018 Lectus Ave,40856,One-to-One Individual,690-381-3109
Adult,David.Mathis@gmail.com,David,Mathis,,,,,64234,School,
Adult,Nicola.Campbell@gmail.com,Nicola,Campbell,,,,,,One-to-One Individual,
,Megan.Vaughan@dv-law.com,Megan,Vaughan,Toronto,Canada,ON,8562 Mauris Road,M4H 1E6,One-to-One Individual,(351) 201-6911 [Father - Ron]
Adult,Joseph.Bailey@schools.nyc.gov,Joseph,Bailey,,,,,84197,School,
Youth,Ava.Jackson@gmail.com,Ava,Jackson,,,,,,One-to-One Individual,9626841561
,lisa.langdon@gmail.com,lisa,langdon,Waterloo,Canada,ON,"P.O. Box 948, 4508 Sem Avenue",N6L 8W8,One-to-One Individual,2612278662
Adult,Anthony.Rees@schools.nyc.gov,Anthony,Rees,,,,,8423,School,
Youth,Austin.Nolan@a.com,Austin,Nolan,,,,,,One-to-One Individual,7808403874
,Sarah.Grant@gmail.com,Sarah,Grant,New City,United States,New York,"Ap #147-1760 Ultrices, Road",35342,One-to-One Individual,6924403259
Adult,Gavin.North@yahoo.com,Gavin,North,,United States,NY,,,School Group,3846229886
Youth,Brian.Taylor@gmail.com,Brian,Taylor,,,,,,One-to-One Individual,9431352898
Adult,Carl.Davies@live.com,Carl,Davies,,,,,,One-to-One Individual,46177050126
Educator,Carolyn.Blake@schools.nyc.gov,Carolyn,Blake,,United States,NY,,,,
Adult,Audrey.Anderson@gmail.com,Audrey,Anderson,,,,,,One-to-One Individual,4143870221
TBD,Molly.Hardacre@lacoe.edu,Molly,Hardacre,Los Angeles,United States,California,Ap #680-9863 Nunc Rd.,45459,One-to-One Individual,8988359745
Educator,Ruth.Wallace@schools.nyc.gov,Ruth,Wallace,,United States,NY,,,School,1598172271
Youth,Sam.Avery@gmail.com,Sam,Avery,,,,,,One-to-One Individual,
,James.Carr@sympatico.ca,James,Carr,Hamilton,Canada,Ontario,"Ap #725-5803 Nec, Avenue",L3b0g4,One-to-One Individual,6655753604
Educator,Adam.Grant@schools.nyc.gov,Adam,Grant,,United States,NY,,,School,(529) 339-5775
Youth,Stewart.Kerr@gmail.com,Stewart,Kerr,,,,,,One-to-One Individual,5869496770
,Grace.Jones@gmail.com,Grace,Jones,Ottawa,Canada,Ontario,"P.O. Box 862, 7341 Neque Street",K4C9R9,One-to-One Individual,1377684727
Educator,Madeleine.Hardacre@schools.nyc.gov,Madeleine,Hardacre,,United States,NY,,,,4515781710
Youth,Carol.Kelly@gmail.com,Carol,Kelly,,,,,,One-to-One Individual,4993555671
,Katherine.Forsyth@gmail.com,Katherine,Forsyth,Indianapolis,United States,Indiana,"P.O. Box 407, 3229 Semper Av.",65652,One-to-One Individual,3726904526
Educator,Samantha.James@schools.nyc.gov,Samantha,James,,United States,NY,,,School,
Youth,Carl.Kelly@gmail.com,Carl,Kelly,,,,,,One-to-One Individual,4158641900
,Keith.Ellison@live.ca,Keith,Ellison,Lethbridge,Canada,Alberta,640-5854 Lacus. St.,T7H 8S9,One-to-One Individual,465-448-8359
Educator,Samantha.Thomson@schools.nyc.gov,Samantha,Thomson,,United States,NY,,,,039-819-4749
Youth,Claire.Brown@gmail.com,Claire,Brown,,,,,,One-to-One Individual,1705735283
,Sean.Wallace@monsanto.com,Sean,Wallace,Foristell,United States,Missouri,"Ap #401-2238 At, Avenue",58853,One-to-One Individual,3766548051
Adult,Peter.Skinner@aol.com,Peter,Skinner,,,,,47741,,
Youth,Michelle.Watson@gmail.com,Michelle,Watson,,,,,,One-to-One Individual,6106218148
,Maria.Wilkins@msn.com,Maria,Wilkins,Chicago,United States,Illinois,"P.O. Box 565, 3964 Id St.",8985,One-to-One Individual,1577090244
Adult,Olivia.Fisher@gmail.com,Olivia,Fisher,,,,,89668,,
Youth,Irene.Abraham@gmail.com,Irene,Abraham,,,,,,One-to-One Individual,6798129294
,Jack.McGrath@hotmail.com,Jack,McGrath,Hendersonville,United States,North Carolina,258-3346 Sollicitudin Rd.,3370,One-to-One Individual,6914269321
Adult,Carl.Nolan@yahoo.com,Carl,Nolan,,,,,28484,,
Adult,Eric.Sanderson@gmail.com,Eric,Sanderson,,,,,,One-to-One Individual,
,Zoe.Manning@me.com,Zoe,Manning,Calgary,Canada,Alberta,"P.O. Box 942, 7205 Mauris Road",T5Y 5E2,One-to-One Individual,379-694-5207
Adult,Megan.Nolan@floridaufsd.org,Megan,Nolan,Florida,United States,NY,,81986,School,8437820543
Youth,Ruth.Cameron@hotmail.com,Ruth,Cameron,,,,,,One-to-One Individual,
Educator,Nathan.MacLeod@holytrinity.manchester.sch.uk,Nathan,MacLeod,,United Kingdom,Greater Manchester,,,One-to-One Individual,4715371599
Adult,Natalie.James@floridaufsd.org,Natalie,James,,,,,60295,School,
,,Robert,Randall,,,,,,One-to-One Individual,
,Julia.Sanderson@yahoo.com,Julia,Sanderson,Cincinnati,United States,Ohio,800-1707 Nulla Rd.,96587,One-to-One Individual,683-367-4343
Educator,Blake.Dyer@sis-nativity.org,Blake,Dyer,,United States,NY,,,,(802) 660-0778
,,Hannah,Cameron,,,,,,One-to-One Individual,
,Ella.Coleman@gmail.com,Ella,Coleman,craven,Canada,Saskatchewan,Ap #469-5693 Natoque Ave,S1G1W8,One-to-One Individual,301-628-4438
Educator,Diana.Oliver@k497.org,Diana,Oliver,,United States,NY,,,,680805201
,Luke.Langdon@cherrycreekschools.org,Luke,Langdon,,,,,,One-to-One Individual,
,Jason.Henderson@gmail.com,Jason,Henderson,Brights Grove,Canada,Ontario,"P.O. Box 526, 7197 Iaculis Av.",N7N 8C8,One-to-One Individual,9262143372
Adult,Grace.Marshall@schools.nyc.gov,Grace,Marshall,,,,,669,School Group,
,Audrey.Newman@cherrycreekschools.org,Audrey,Newman,,,,,,One-to-One Individual,
Adult,Ella.Duncan@gmail.com,Ella,Duncan,Memphis,United States,TN,Ap #816-7426 Nibh. Ave,92375,One-to-One Individual,(514)887-8996
Educator,Theresa.Mills@sacsny.org,Theresa,Mills,,United States,NY,,,School,3991980835
Adult,Gordon.Buckland@gmail.com,Gordon,Buckland,Brantford,Canada,ON,"615-8174 Montes, Av.",N7P 6T6,One-to-One Individual,(559)694-1232
Adult,Brian.Peake@ccs.k12.nc.us,Brian,Peake,,United States,NC,,,One-to-One Individual,8867023805
Educator,,Amy,Morrison,Pawling,United States,NY,667-9250 Neque Av.,68972,,
Adult,Adam.Alsop@sequoia.com,Adam,Alsop,San Mateo,United States,CA,263-6392 Venenatis Road,50037,One-to-One Individual,(857)330-9119
Adult,Brian.James@gmail.com,Brian,James,Blanco,United States,TX,263-6392 Venenatis Road,39117,One-to-One Individual,(407)146-9975
Educator,Robert.Skinner@uasbyw.net,Robert,Skinner,,United States,NY,,,,
Adult,Dylan.MacDonald@epsnj.org,Dylan,MacDonald,,,,,8128,One-to-One Individual,
Adult,Una.Coleman@hotmail.com,Una,Coleman,Meaford,Canada,ON,"P.O. Box 755, 1304 Rutrum Rd.",N6L 6A3,One-to-One Individual,(233)236-7444
Adult,Christopher.Vaughan@uasdc.org,Christopher,Vaughan,,United States,NY,,,,756-103-2106
Adult,Leonard.McDonald@hotmail.com,Leonard,McDonald,Richmond Hill,Canada,ON,635-7434 Lacus. Rd.,L1C 1N4,One-to-One Individual,(544)146-6087
,trevor.morrison@comcast.net,trevor,morrison,kent,United States,Washington,"P.O. Box 254, 1868 Elit St.",63218,One-to-One Individual,5594330119
Educator,Neil.Hill@uaunison.org,Neil,Hill,Brooklyn,United States,NY,"P.O. Box 431, 9442 Sem. Road",86150,School,8210566328
Adult,Carol.Hart@gmail.com,Carol,Hart,San Francisco,United States,CA,376-8749 Odio St.,634965,One-to-One Individual,(045)681-3747
Adult,Jasmine.Parsons@gmail.com,Jasmine,Parsons,Toronto,Canada,ON,376-8749 Odio St.,M6L 1S7,One-to-One Individual,(009)821-9282
Educator,Katherine.MacLeod@schools.nyc.gov,Katherine,MacLeod,,United States,NY,,,School,7149178327
Adult,Leah.Carr@outlook.com,Leah,Carr,Sunland,United States,CA,"P.O. Box 239, 5788 Tempor, St.",16796,One-to-One Individual,(201) 325-1629
Adult,Oliver.Gray@gmail.com,Oliver,Gray,London,Canada,ON,"P.O. Box 239, 5788 Tempor, St.",N6A 0Z8,One-to-One Individual,(977)068-9907
Educator,Tim.Clark@schools.nyc.gov,Tim,Clark,,United States,NY,,,,1295818772
Youth,Emily.Cornish@hotmail.com,Emily,Cornish,chula vista,United States,California,Ap #773-8899 Nec Av.,69944,Schoolboard,309-323-1409
,Ava.Newman@hughes.net,Ava,Newman,Mooringsport,United States,Louisiana,Ap #773-8899 Nec Av.,50625,One-to-One Individual,9018290767
Educator,Owen.Brown@wbchs.org,Owen,Brown,,United States,NY,,,,7622530537
Adult,Megan.Welch@hightechigh.org,Megan,Welch,,,,,53947,Schoolboard,
,,Anthony,Randall,,Canada,,,,One-to-One Individual,
Educator,Una.Welch@qchnyc.org,Una,Welch,,United States,NY,,,School,
Adult,Ian.McGrath@aol.com,Ian,McGrath,,,,,83886,Schoolboard,
,Simon.Burgess@telus.net,Simon,Burgess,,Canada,,,,One-to-One Individual,
Adult,Sam.Morgan@gmail.com,Sam,Morgan,,United States,NY,,17567,School,6545224243
Adult,Connor.Alsop@charter.newvisions.org,Connor,Alsop,,,,,74174,Schoolboard,
,Neil.Fraser@shaw.ca,Neil,Fraser,,Canada,,,,One-to-One Individual,
Educator,Joanne.Churchill@hscdsb.on.ca,Joanne,Churchill,Elliot Lake,CA,Ontario,,,School,(841) 610-8862
Educator,Anna.Nolan@drihscs.org,Anna,Nolan,,United States,NY,,13144,Schoolboard,2000348167
,Carl.Jackson@telus.net,Carl,Jackson,,Canada,,,,One-to-One Individual,
Adult,Connor.Terry@gmail.com,Connor,Terry,,,,,2643,School,
Adult,Caroline.Paige@drihscs.org,Caroline,Paige,,,,,69708,Schoolboard,
Adult,Blake.Slater@gmail.com,Blake,Slater,Mississauga,Canada,ON,Ap #230-512 Vel Road,L6H 0L8,One-to-One Individual,(587)507-7680
Youth,Vanessa.Piper@gmail.com,Vanessa,Piper,,United States,WA,,23490,School,4526837278
Adult,Bella.Welch@gmail.com,Bella,Welch,Vancouver,Canada,BC,"P.O. Box 552, 4787 Egestas Road",V5L 3E3,One-to-One Individual,(146)597-7942
Adult,Sarah.Churchill@hotmail.com,Sarah,Churchill,Los Angeles,United States,California,"P.O. Box 391, 6539 Nisl. Street",58208,One-to-One Individual,5447316939
Educator,Jason.Berry@shetland.gov.uk,Jason,Berry,Lerwick,United Kingdom,Shetland,Ap #491-5316 Blandit St.,ZE9 1LY,School,36317 869223
Adult,Edward.Wilson@gmail.com,Edward,Wilson,Waterloo,Canada,ON,5160 Risus Ave,N1T 7K1,One-to-One Individual,(180)495-6688
,Emma.Pullman@yahoo.com,Emma,Pullman,Miami,United States,Florida,5160 Risus Ave,78555,One-to-One Individual,1422576967
Adult,Christopher.Davidson@schools.nyc.gov,Christopher,Davidson,,United States,NY,,,School,(018) 427-4395
Adult,Andrea.Blake@yahoo.com,Andrea,Blake,Brooklyn,United States,NY,Ap #520-9568 Mattis Street,97326,One-to-One Individual,(089)524-8865
,Justin.Kelly@yahoo.com,Justin,Kelly,Oak ridge,United States,New Jersey,Ap #520-9568 Mattis Street,2860,One-to-One Individual,4611980223
Adult,Virginia.Hunter@andrewpeller.com,Virginia,Hunter,,,,,,Corporate,(284) 061-0997 Ext. 1746
Adult,Simon.Piper@gmail.com,Simon,Piper,Toronto,Canada,ON,Ap #160-2415 Mattis Avenue,M3B 3A3,One-to-One Individual,(355)599-7573
,Bella.Taylor@bouclair.com,Bella,Taylor,,,,,,One-to-One Individual,
Adult,Jan.Lawrence@andrewpeller.com,Jan,Lawrence,,,,,,Corporate,(740) 320-0303
Corporate,Carolyn.Kelly@yahoo.ca,Carolyn,Kelly,Calgary,Canada,AB,"P.O. Box 672, 6421 Accumsan Ave",t6b0g4,,8295786617
,Harry.Peters@mac.com,Harry,Peters,,,,,,One-to-One Individual,
Educator,Liam.Dickens@bwdsb.on.ca,Liam,Dickens,,Canada,ON,,,School,584-423-7870
Adult,Jane.Turner@gmail.com,Jane,Turner,Santa Clara,United States,CA,Ap #951-5291 Proin Rd.,4960,One-to-One Individual,(042)126-9416
,Deirdre.Hill@gmail.com,Deirdre,Hill,Stonington,United States,Connecticut,Ap #951-5291 Proin Rd.,9080,One-to-One Individual,6087614808
Educator,Max.Wright@schools.nyc.gov,Max,Wright,,United States,NY,,,School,5708589814
,Owen.Hodges@gmail.com,Owen,Hodges,,,,,,One-to-One Individual,
TBD,Jack.Kerr@yahoo.ca,Jack,Kerr,Orleans,Canada,Ontario,Ap #703-7793 Non Av.,K6E 7B6,One-to-One Individual,5245002008
Adult,Jan.Morrison@ymail.com,Jan,Morrison,,,,,63553,After-School Affiliate,
Adult,Nicola.Hughes@gmail.com,Nicola,Hughes,,United States,NY,,77316,One-to-One Individual,7526256926
,Wendy.Glover@gmail.com,Wendy,Glover,Long Island City,United States,New York,"361-6341 Odio, Road",78629,One-to-One Individual,5006087286
Adult,Evan.Hughes@gmail.com,Evan,Hughes,,,,,33,After-School Affiliate,6913117862
,Sue.Powell@hotmail.com,Sue,Powell,Richmond Corner,Canada,New Brunswick,"Ap #851-885 Ullamcorper, St.",E1M 7B2,One-to-One Individual,5407315785
,Kimberly.Arnold@icloud.com,Kimberly,Arnold,Vancouver,Canada,British Columbia,825-8843 Turpis. St.,V1C 6B4,One-to-One Individual,4641252221
Educator,Alexandra.Robertson@gov.tt,Alexandra,Robertson,Barrackpore,Trinidad and Tobago,-,"P.O. Box 622, 7515 Proin St.",-,School,5-692-481-8531
,Eric.Paterson@lkdsb.net,Eric,Paterson,Chatham,Canada,Ontario,Ap #846-8656 Enim St.,N1M 1B3,One-to-One Individual,5241731421
,Anne.Rees@gmail.com,Anne,Rees,Clarksburg,United States,Maryland,348-6515 Nunc Ave,99549,One-to-One Individual,9152894720
Educator,Elizabeth.Arnold@yahoo.com,Elizabeth,Arnold,Tacarigua,Trinidad and Tobago,Tacarigua,348-6515 Nunc Ave,7,School,1257428-7993
Adult,Dominic.Burgess@msn.com,Dominic,Burgess,,,,,2343,One-to-One Individual,4812207461
,Trevor.Butler@gmail.com,Trevor,Butler,Lorain,United States,Ohio,"P.O. Box 908, 7599 Mauris Avenue",23301,One-to-One Individual,4656386431
Educator,Amy.Walsh@gmail.com,Amy,Walsh,Plymouth,Trinidad and Tobago,Tobago,"P.O. Box 891, 2503 Quis, St.",2445,School,46525656123
,Nicholas.Gibson@optonline.net,Nicholas,Gibson,OAKLAND,United States,New Jersey,2224 Dignissim. St.,1444,One-to-One Individual,6021042788
,Harry.Scott@gmail.com,Harry,Scott,Vancouver,Canada,British Columbia,148-2916 Aliquet Rd.,V7K 4E5,One-to-One Individual,5676611149
Educator,Sebastian.Sanderson@hotmail.com,Sebastian,Sanderson,Scarborough,Trinidad and Tobago,Trinidad,148-2916 Aliquet Rd.,0,School,2537327163
Adult,felicity.oliver@msn.com,felicity,oliver,,,,,5923,One-to-One Individual,
TBD,Rebecca.Metcalfe@yahoo.com,Rebecca,Metcalfe,San Diego,United States,California,"P.O. Box 443, 8513 Vitae Street",56804-,One-to-One Individual,1107612079
Educator,Andrea.Paterson@gmail.com,Andrea,Paterson,Tobago,Trinidad and Tobago,Tobago,Ap #602-1603 Id Ave,,School,(164) 667-0030
,Joe.Tucker@uqac.ca,Joe,Tucker,Chicoutimi,Canada,Quebec,4906 Mauris Rd.,G1G 4C2,One-to-One Individual,6475627280
